Fish Name,Thai Fish Name,Scientific Name,Order Name,General Description,Physical Description,habitat,Avg Length,Avg Age,Avg DepthLevel,Avg Weight
Eastern triangle butterflyfish,ปลาผีเสื้อสามเหลี่ยมตะวันออก,Chaetodon baronessa,Perciformes,"A small, territorial butterflyfish found in Indo-West Pacific coral reefs, recognized by alternating cream and grey chevron bars and three dark head stripes. Feeds exclusively on Acropora coral polyps, usually seen in pairs. Not threatened.","body_shape: laterally compressed; primary_colors: white to pale yellow on the body; secondary_colors: yellow on the posterior body and fins; markings: numerous thin dark diagonal lines forming a chevron or herringbone pattern across the mid-body, a broad dark triangular wedge covering the posterior upper body and dorsal fin region, a thin dark bar running vertically through the eye; dorsal_fin: continuous, elevated posteriorly, dark blackish-brown to black on the rear portion blending into the triangular body marking, yellow anteriorly; caudal_fin: rounded to slightly truncate, pale yellow to white with a thin dark submarginal band near the posterior edge; unique_features: prominent broad black triangular patch occupying the upper rear quarter of the body extending into the dorsal fin, dark vertical eye bar, sharp contrast between pale anterior body and dark posterior triangle","Seaward and lagoon coral reefs from Indonesia to Fiji, Tonga, southern Japan, New Caledonia, and Australia; prefers areas with abundant Acropora corals.",16 cm,8 years,25 m,0.1 kg
Redtail butterflyfish,ปลาผีเสื้อหางแดง,Chaetodon collare,Perciformes,"A striking butterflyfish found in Indo-West Pacific reefs, recognized by its brown-black body, white streaks on the head, and bright red tail base. Feeds mainly on coral polyps, usually seen in pairs or small groups. Not threatened.","body_shape: laterally compressed; primary_colors: white to pale yellow on the body; secondary_colors: yellow on the posterior body transitioning to red-orange on the tail region; markings: numerous thin dark diagonal stripes running across the body in a chevron or herringbone pattern, a broad black vertical bar running through the eye, a black submarginal band on the posterior body near the caudal peduncle; dorsal_fin: continuous, elevated, white to pale with dark edging and spines consistent with body striping; caudal_fin: rounded to truncate, distinctly red to red-orange in color; unique_features: bold black vertical bar through the eye, striking red-orange caudal fin contrasting sharply with the pale body, dark vertical band near the caudal peduncle separating the yellow posterior from the red tail","Coral reefs from Persian Gulf and Maldives to Japan, Philippines, and Indonesia; prefers depths of 3EE15 m, often near branching corals.",18 cm,10 years,15 m,0.2 kg
Indian vagabond butterflyfish,ปลาผีเสื้ออินเดีย,Chaetodon decussatus,Perciformes,"A robust butterflyfish found in Indo-West Pacific reefs, recognized by oblique black lines and yellowish hindparts. Adults are monogamous and territorial, feeding on algae and coral polyps. Juveniles are solitary. Not threatened.","body_shape: laterally compressed; primary_colors: white to pale yellow; secondary_colors: yellow on posterior body and fins; markings: numerous thin diagonal dark lines arranged in a chevron or herringbone pattern across the entire body, a broad black vertical bar through the eye extending from the dorsal region to below the pectoral fin, a broad black vertical bar on the posterior body adjacent to the tail; dorsal_fin: continuous, elevated anteriorly with a rounded to pointed profile, yellow with a dark submarginal band; caudal_fin: rounded, yellow with a dark posterior band followed by a pale marginal edge; unique_features: broad black eye bar, broad black bar near caudal peduncle, black spot or mark at the rear base of the dorsal fin, yellow coloration intensifying toward the tail, herringbone diagonal line pattern covering the flanks","Coral reefs, rubble, and rocky areas from Maldives, India, Sri Lanka, Andaman Sea to western Indonesia; found at depths of 2EE25 m.",20 cm,10 years,20 m,0.2 kg
Scrawled butterflyfish,ปลาผีเสื้อลายขีด,Chaetodon meyeri,Perciformes,"A striking butterflyfish found in Indian and Pacific Ocean coral reefs, recognized by curved black bands on a whitish body and yellow-edged black bars through the eye and snout. Feeds exclusively on coral polyps. Not threatened.","body_shape: laterally compressed, disc-shaped; primary_colors: bluish-gray to silvery body; secondary_colors: yellow tinge on snout, lips, and fin margins; markings: series of bold curved diagonal black stripes/bands sweeping across the body in a scrawled pattern, a black bar through the eye, a black band across the forehead; dorsal_fin: continuous, gray with black submarginal band edged in yellow; caudal_fin: yellowish with broad black band near the rear margin; unique_features: distinctive curving parallel black scribble-like stripes covering the body, black bar through eye, no caudal peduncle spot","Coral-rich seaward and lagoon reefs from East Africa to Line Islands, Ryukyu Islands, Great Barrier Reef, Micronesia, Galapagos; depths 2EE25 m.",20 cm,10 years,20 m,0.2 kg
Eightband butterflyfish,กบหลังลายเฉียง,Chaetodon octofasciatus,Perciformes,"A small butterflyfish found in Indo-Pacific coral reefs, feeding exclusively on coral polyps. Noted for its distinctive stripes and preference for sheltered inshore and lagoon reefs. Grows up to 12 cm.","body_shape: laterally compressed; primary_colors: white to pale yellow with an overall yellowish tinge; secondary_colors: yellow on the posterior body and fins; markings: eight narrow dark vertical bars running across the body from the dorsal region to the ventral region, evenly spaced along the flanks; dorsal_fin: continuous, moderately elevated, yellow with dark bar extensions from the body bars reaching into the fin; caudal_fin: rounded to slightly truncate, yellow with a narrow dark submarginal band near the posterior edge; unique_features: a bold dark bar passing through the eye vertically, a dark spot or band on the caudal peduncle region, and the characteristic eight distinct body bars which are the primary diagnostic feature of this species",Sheltered inshore and lagoon reefs among corals in Indo-Pacific; depth range 3EE20 m.,12 cm,6 years,20 m,0.1 kg
Latticed butterflyfish,ปลาผีเสื้อลายลูกไม้,Chaetodon rafflesii,Perciformes,"The Latticed Butterflyfish is an uncommon Indo-Pacific species found from Sri Lanka to Tuamotu Islands, north to Japan, south to Great Barrier Reef, and Micronesia. It inhabits areas of rich coral growth in lagoons and protected reef flats and seaward reefs from 1EE20 m depth. Feeds on sea anemones, polychaetes, and coral polyps. Grows up to 18 cm.","body_shape: laterally compressed; primary_colors: white to pale yellow overall body; secondary_colors: yellowish tinge toward the posterior body and fins; markings: dark-edged scales forming a diagonal crosshatch or lattice grid pattern across the entire body, creating a net-like appearance of intersecting diagonal lines angled in two directions; dorsal_fin: continuous, elevated anteriorly with dark marginal edge, pale to yellowish base with the lattice scale pattern continuing into the soft-rayed portion; caudal_fin: truncate to slightly rounded, pale to white with a distinct dark submarginal band near the posterior edge; unique_features: broad dark vertical bar passing through the eye extending from the nape to the throat, dark spot or ocellus absent, snout moderately elongated and pointed, dark posterior margin on dorsal and anal fins forming a contrasting border","Lagoons, protected reef flats, and seaward reefs with rich coral growth in Indo-Pacific; depth range 1EE20 m.",18 cm,6 years,20 m,0.15 kg
Humphead wrasse,ปลานโปเลียน,Cheilinus undulatus,Perciformes,"The humphead wrasse is the largest living member of Labridae, found on coral reefs in the Indo-Pacific. Males reach up to 2 m and 190 kg, females are smaller. Noted for thick lips and a prominent forehead hump. Endangered due to overfishing, habitat loss, and trade. Long-lived, slow-breeding, and protected in several regions.","body_shape: laterally compressed; primary_colors: blue-green to purplish-blue overall body, fading to a duller greenish or grayish tone in some individuals; secondary_colors: paler greenish-blue on the lower body, with a slightly lighter facial region; markings: thin irregular dark lines radiating outward from behind the eye across the cheek and operculum, faint dark scale edging creating a reticulated net-like pattern across the body flanks; dorsal_fin: elongated, continuous, low profile, blue-green matching body coloration with a slightly paler or whitish margin along the upper edge; caudal_fin: rounded to truncate, blue-green, without elongated filaments; unique_features: large pronounced hump on the forehead above the eyes becoming more prominent with age, thick fleshy lips, two dark lines extending posteriorly from each eye across the cheek","Steep coral reef slopes, channels, and lagoon reefs in Indo-Pacific; juveniles in dense coral/seagrass, adults in open reef edges; depth 1EE100 m.",200 cm,50 years,100 m,190 kg
Humpback grouper,ปลากะรังหลังค่อม,Cromileptes altivelis,Perciformes,"The humpback grouper (Cromileptes altivelis) is a demersal, solitary, ambush predator found in tropical Indo-West Pacific lagoons and seaward reefs, preferring dead or silty areas. Grows up to 70 cm. Noted for its laterally compressed, high body and elongated snout. Vulnerable due to rarity, overharvesting, and habitat loss; commonly kept in aquaria.","body_shape: laterally compressed; primary_colors: white to pale cream base with dense black to dark brown spots covering the entire body; secondary_colors: yellowish tinge on the belly and ventral areas; markings: numerous small dark brown to black spots densely distributed across the entire body surface, head, and all fins; dorsal_fin: single continuous dorsal fin with stout spines, covered in dark spots matching the body pattern, moderately elevated anteriorly; caudal_fin: rounded, covered in dark spots on a pale background; unique_features: pronounced convex hump on the dorsal profile of the head and nape giving a distinctly arched forehead appearance, large mouth with thick lips, dark spots extend uniformly onto all fins",Clear lagoons and seaward reefs in tropical Indo-West Pacific; prefers dead or silty areas; depth range 2EE40 m.,70 cm,18 years,40 m,10 kg
Honeycomb grouper,ปลากะรังลายรังผึ้ง,Epinephelus merra,Perciformes,"The honeycomb grouper is a small, solitary Indo-Pacific grouper found from South Africa to Pitcairn, Japan, and Lord Howe Island. It reaches up to 32 cm, with a stocky, ocher to light brown body covered in brown hexagonal spots forming a network. Protogynous hermaphrodite, feeds on fish, crabs, shrimps, and cephalopods.","body_shape: laterally compressed; primary_colors: pale yellowish-white to creamy white; secondary_colors: white to pale cream on belly; markings: densely packed dark brown to black hexagonal or polygon-shaped spots covering the entire body and head forming a honeycomb-like reticulated pattern, spots are small and closely arranged across flanks, head, and extending onto fins; dorsal_fin: continuous with spiny and soft portions, covered in the same dark brown hexagonal spot pattern matching the body; caudal_fin: rounded, covered with dark brown spots matching the body pattern; unique_features: distinctive close-set honeycomb or net-like polygonal dark spot pattern covering entire body including head and all fins, spots are roughly equal in size and uniformly distributed creating a reticulated mesh appearance, no large contrasting blotches or saddles",Seaward reefs and shallow lagoons in tropical Indo-Pacific; juveniles prefer staghorn coral reefs; depth range 1EE50 m.,32 cm,10 years,50 m,0.6 kg
Potato cod,ปลากะรังมันฝรั่ง,Epinephelus tukula,Perciformes,"The Potato cod is a large, inquisitive grouper native to Indo-Pacific reefs, including Australia and Southeast Asia. It reaches up to 2.6 m and 110 kg, is patchily distributed, and is considered harmless but may show rare aggression. Listed as Least Concern by IUCN.","body_shape: robust and oblong, deep-bodied; primary_colors: pale grayish-brown to cream; secondary_colors: whitish or cream on the belly; markings: large irregular dark brown to blackish blotches scattered across the body, head, flanks, and fins, resembling potato-like patches; dorsal_fin: single continuous dorsal fin with spiny and soft-rayed portions, covered with the same large dark brown blotches matching the body pattern; caudal_fin: rounded, pale with dark blotch markings continuing from the body; unique_features: very large robust body with a massive broad head, thick fleshy lips, large dark irregular potato-shaped blotches covering the entire body and head including the area around and behind the gill cover, giving a strongly mottled appearance throughout",Reefs across Indo-Pacific from Red Sea to Australia; prefers unfished or protected reef areas; depth 5EE150 m.,260 cm,40 years,80 m,110 kg
Yellow longnose Butterflyfish,ปลาผีเสื้อปากยาวสีเหลือง,Forcipiger flavissimus,Perciformes,"The yellow longnose butterflyfish is a small, territorial reef fish found across the Indo-Pacific and eastern Pacific. It forms monogamous pairs, defends coral patches, and uses acoustic signals for communication. Grows up to 22 cm; popular in aquariums.","body_shape: laterally compressed; primary_colors: bright yellow covering most of the body; secondary_colors: white on the upper snout and forehead region just behind the elongated beak; markings: black bar running vertically through the eye on the head; dorsal_fin: continuous, elongated with pointed trailing edge, bright yellow; caudal_fin: rounded, bright yellow with a narrow black posterior margin; unique_features: extremely elongated tubular snout or beak projecting forward, black eye bar extending through the eye, black posterior edge on caudal fin","Coral reefs in tropical Indo-Pacific and eastern Pacific (Africa to Hawaii, Red Sea, Baja California, Galapagos); found at depths of 2EE40 m.",22 cm,7 years,20 m,0.1 kg
Dogtooth tuna,ปลาทูน่าหมาฟัน,Gymnosarda unicolor,Perciformes,Large predatory tuna in Indo-Pacific reefs; apex predator with aggressive behavior; prized game fish; Least Concern.,"body_shape: fusiform; primary_colors: steel blue to dark blue-grey on the dorsal surface, silvery white on the flanks and belly; secondary_colors: bright silver on the lower flanks with a slight iridescent sheen; markings: no distinct stripes, bars, or spots; the dorsal surface transitions sharply to a lighter silver-white on the lower body; dorsal_fin: two dorsal fins, the first triangular and tall with a dark bluish-black coloration, the second smaller and similarly dark; caudal_fin: deeply forked, stiff, dark bluish-grey to blackish with a pale trailing edge; unique_features: large conical white teeth clearly visible when mouth is open, very large eye relative to head size, pronounced streamlined head tapering to a pointed snout, small finlets present between second dorsal fin and caudal fin","Tropical Indo-Pacific reefs; juveniles in shallow areas, adults near drop-offs and seamounts; depth varies widely.",80 cm,15 years,100 m,40 kg
Checkerboard wrasse,ปลาเพรียงลายหมากรุก,Halichoeres hortulanus,Perciformes,A small wrasse with variable coloration through life stages; protogynous hermaphrodite; Least Concern.,"body_shape: fusiform; primary_colors: greenish-blue to turquoise on the upper body, whitish to pale yellow on the lower body; secondary_colors: pale cream to white on the ventral surface; markings: a bold checkerboard or grid-like pattern of dark-edged scales forming a net-like reticulation across the sides of the body, with alternating light and dark patches creating the namesake checkerboard appearance; dorsal_fin: continuous, low profile, greenish with faint streaking; caudal_fin: rounded to slightly truncate, greenish with a pale to white margin and a dark submarginal band; unique_features: distinct dark-edged scale pattern producing a checkerboard effect across the flanks, a bright pink to red horizontal stripe or streaking on the head running from the snout through or behind the eye, and orange to reddish facial markings around the eye area","Clear lagoons and seaward reefs, Indo-Pacific (Red Sea to French Polynesia); depth 1EE30E¯m.",20 cm,7 years,15 m,0.2 kg
Pennant coralfish,ปลาธงหางยาว,Heniochus acuminatus,Perciformes,A schooling butterflyfish widespread in the IndoEEPacific; feeds on zooplankton and occasionally acts as cleaner fish; Least Concern.,"body_shape: laterally compressed; primary_colors: white; secondary_colors: yellow on posterior body and all fins; markings: two broad black vertical bars on the body, one covering the head and eye, one spanning the mid-body from dorsal to ventral surface; dorsal_fin: elongated with a greatly extended filamentous pennant-like ray reaching far beyond the body, yellow with black pigmentation at the base corresponding to the mid-body bar; caudal_fin: rounded, yellow; unique_features: dramatically elongated trailing dorsal fin filament, black bar through the eye, sharp contrast between white anterior body and yellow posterior body",Outer reef slopes and channels across the IndoEEPacific; depth range 2EE178E¯m.,15 cm,6 years,40 m,0.1 kg
Schooling bannerfish,ปลาธงหมู่,Heniochus diphreutes,Perciformes,A schooling butterflyfish widespread in the IndoEEPacific; feeds on zooplankton and sometimes acts as cleaner fish; Least Concern.,"body_shape: laterally compressed; primary_colors: white and black; secondary_colors: yellow on the posterior body and fins; markings: two broad black vertical bars on the body, first bar running through the eye and across the head, second wider black bar covering the rear portion of the body from below the dorsal fin to the anal fin; dorsal_fin: elongated with a distinctive tall trailing filament or banner extending from the posterior tip, black and white with yellow highlights; caudal_fin: squared to slightly rounded, yellow with a black posterior margin; unique_features: elongated trailing filament on dorsal fin, bold two-bar black and white pattern with contrasting yellow posterior region, black bar through the eye","Outer reef slopes and channels, IndoEEPacific; depth range 5EE210E¯m (commonly 5EE30E¯m).",18 cm,6 years,25 m,0.1 kg
Bigeye snapper,ปลากะพงตาโต,Lutjanus lutjanus,Perciformes,A reef-associated snapper of the Indo-West Pacific; valued in commercial fisheries; Least Concern.,"body_shape: laterally compressed, oblong and moderately deep; primary_colors: pinkish-red to reddish dorsally fading to silvery-white below; secondary_colors: silvery-pink flanks and belly; markings: a broad bright yellow mid-lateral stripe running from the snout/eye to the caudal base, with faint thin yellowish lines along the scale rows; dorsal_fin: continuous with a shallow notch between spinous and soft portions, yellowish to pinkish; caudal_fin: forked, yellowish; unique_features: conspicuously large eyes relative to head, yellowish fins, no dark axil spot",Offshore coral reefs and inshore waters; depth range 0EE96E¯m.,25 cm,11 years,40 m,0.3 kg
Humpnose unicornfish,ปลาแฮมป์โนสยูนิคอร์นฟิช,Naso tonganus,Perciformes,A reef-associated unicornfish across the IndoEEPacific; feeds on algae and zooplankton; minor commercial importance.,"body_shape: laterally compressed; primary_colors: olive-gray to brownish-gray overall body; secondary_colors: pale yellowish to whitish on the ventral surface; markings: faint irregular pale lines or a reticulated pattern along the upper body sides, no bold stripes or bars; dorsal_fin: elongated with a continuous profile, grayish to olive matching the body, with a relatively uniform coloration; caudal_fin: lunate with elongated upper and lower lobes, pale grayish with whitish trailing edges on the lobes; unique_features: a prominent rounded bony hump or protuberance on the snout above the upper lip, no elongated rostral horn, a pair of fixed bony keeled scutes on each side of the caudal peduncle that are pale to yellowish in color","Coral reefs, lagoons, estuaries; depth range 2EE40E¯m (commonly 3EE20E¯m).",45 cm,20 years,25 m,1.2 kg
Red fire goby,ปลาสีไฟ,Nemateleotris magnifica,Perciformes,A reef-associated dartfish of the Indian and Pacific Oceans; monogamous and commonly kept in aquaria; Least Concern.,"body_shape: elongated; primary_colors: white to pale yellow on the anterior body transitioning to vivid red-orange on the posterior body; secondary_colors: pale cream or whitish on the head and front third of the body; markings: a sharp gradient transition from pale white-yellow at the head to intense red-orange beginning at roughly mid-body and intensifying toward the tail; dorsal_fin: two distinct dorsal fins, the first featuring an extremely elongated first spine that is filamentous and dramatically extended, white to pale with reddish-orange coloration toward the posterior portion; caudal_fin: rounded, vivid red-orange to deep red; unique_features: the greatly elongated first dorsal spine which is a highly distinctive filamentous whip-like projection, and the striking abrupt color gradient from pale white-yellow anteriorly to deep red-orange posteriorly giving a two-toned flame-like appearance",Coral reefs across Indo-Pacific; depth 6EE70E¯m (usually 6EE28E¯m); hovers above substrate.,7 cm,4 years,20 m,0.01 kg
Palette surgeonfish,ปลาหมอทะเล,Paracanthurus hepatus,Perciformes,"A vibrant blue surgeonfish with a yellow tail and black palette pattern, found throughout Indo-Pacific coral reefs. Popular in aquariums, it helps maintain coral health by grazing on algae. Grows up to 30 cm; Least Concern.","body_shape: laterally compressed; primary_colors: vivid royal blue covering most of the body; secondary_colors: black on the head region and along the upper body, yellow on the tail region and pectoral fin area; markings: a bold black palette-shaped marking extending from behind the eye across the upper flanks, a thin white or pale blue horizontal line running along the lower body from behind the pectoral fin toward the tail, black outlining along the dorsal and anal fin bases; dorsal_fin: elongated and low-profile running most of the body length, blue with a thin dark border; caudal_fin: lunate to slightly forked, predominantly yellow with white-tipped lobes edged in black; unique_features: bright yellow caudal peduncle patch surrounding the retractable spine, yellow pectoral fin base patch, black mask covering the face and eyes, distinctive black palette-shaped blotch on the flank giving the species its common name","Coral reefs in Indo-Pacific: Philippines, Indonesia, Japan, Australia, New Caledonia, Samoa, East Africa, Sri Lanka; depth range 2EE40 m.",25 cm,8 years,25 m,0.6 kg
Black-sided hawkfish,ปลากะรังเหยี่ยว,Paracirrhites forsteri,Perciformes,"A colorful hawkfish found in Indo-Pacific reefs, often perching on corals and rocks. It has a white body with black sides and red or yellow markings. Grows up to 22 cm and is popular in aquariums and minor fisheries.","body_shape: laterally compressed; primary_colors: white to cream base color with large dark brown to black blotches covering the sides and back; secondary_colors: pale white or yellowish on the ventral surface; markings: large irregular dark brown to black saddle-like blotches or patches distributed along the upper sides and back, extending partially down the flanks, creating a mottled pattern; dorsal_fin: long continuous dorsal fin with stiff spiny rays, dark coloration matching the body blotches with cirri visible at the tips of the dorsal spines; caudal_fin: rounded, pale to translucent with possible faint dark edging; unique_features: prominent cirri or tufts of hair-like filaments at the tips of each dorsal spine, large dark saddle-like blotches contrasting sharply against the pale body, and a robust head with large eyes typical of hawkfish",Coral and rocky reefs in Indo-Pacific; perches on corals and rocks; depth range 1EE40 m.,18 cm,7 years,35 m,0.1 kg
Teira batfish,ปลาค้างคาวเทอิรา,Platax teira,Perciformes,"A round-bodied batfish of the IndoEEWest Pacific, sometimes schooling and entering the aquarium trade; Least Concern.","body_shape: laterally compressed; primary_colors: silver to grayish-brown overall body; secondary_colors: yellowish to pale white on the ventral surface; markings: broad dark vertical bar passing through the eye extending down the head, a second dark vertical bar at the base of the pectoral fin region on the body; dorsal_fin: tall and elongated with a dark brownish-black coloration along the extended anterior rays; caudal_fin: rounded to slightly squared, pale to translucent with a dark marginal edge; unique_features: extremely elongated dorsal and anal fins with dark pigmentation giving a disc-like circular silhouette, prominent dark bar through the eye, and juveniles display orange and black coloration with highly extended fin filaments","Juveniles among debris, mangroves, inner reefs; adults on reefs and offshore up to depth of 70E¯m; schools under Sargassum or shipwrecks.",60 cm,10 years,70 m,4.5 kg
Indian Ocean oriental sweetlips,ปลาหมากขุนทอง,Plectorhinchus vittatus,Perciformes,"A striking grunt species found in the Indian Ocean and western Pacific. Adults display bold black stripes and yellow fins, while juveniles are mostly black. Inhabits coral and rocky reefs at depths of 2EE25 m.","body_shape: laterally compressed, oval and deep-bodied; primary_colors: white to pale cream base; secondary_colors: dark brown to black stripes with yellowish tinge; markings: numerous horizontal dark brown to black stripes running the length of the body, head with dark spots rather than stripes; dorsal_fin: continuous with spiny anterior and soft-rayed posterior portion, yellow with dark brown to black spots; caudal_fin: slightly forked to truncate, yellow with dark brown to black spots; unique_features: thick fleshy lips, yellow fins boldly spotted with dark spots (distinct from juvenile bold black-and-white blotched pattern)",Coral and rock reefs in Indian Ocean and western Pacific; depth range 2EE25 m.,72 cm,10 years,25 m,3.5 kg
Blue ring angelfish,ปลาหงส์วงแหวน,Pomacanthus annularis,Perciformes,"A large, striking angelfish found in Indo-West Pacific reefs; undergoes dramatic color changes from juvenile to adult; Least Concern.","body_shape: laterally compressed, oval and deep-bodied; primary_colors: tan to yellowish-brown over most of the body; secondary_colors: bright blue and pale yellow accents; markings: several bright electric-blue curved lines/bands sweeping diagonally across the body, a distinctive blue ring just behind the gill cover above the pectoral fin, blue lines radiating across the head; dorsal_fin: elongated and pointed, brownish with blue margins; caudal_fin: white to pale, often rounded or slightly truncate; unique_features: the prominent blue ring mark over the shoulder, blue-edged fins, and curved blue body bands contrasting with the tan body and pale tail","Coastal rocky coral reefs, caves, wrecks; Indo-West Pacific from East Africa to southern Japan, Indonesia, New Guinea, New Caledonia; depth range 3EE30 m.",30 cm,15 years,30 m,1.5 kg
Emperor angelfish,ปลาหงส์จักรพรรดิ,Pomacanthus imperator,Perciformes,A striking reef-associated angelfish native to Indo-Pacific oceans; popular among divers and aquarists; Least Concern.,"body_shape: laterally compressed; primary_colors: deep blue to dark blue body covered with horizontal yellow and white stripes running the length of the body; secondary_colors: bright yellow on the posterior body and caudal fin, white to pale yellow on the face; markings: numerous thin horizontal alternating blue, white, and yellow stripes running parallel along the entire flank from behind the head to the base of the caudal fin; dorsal_fin: elongated and continuous along the back, yellow with a dark blue base edging, trailing to a pointed rear extension; caudal_fin: rounded, uniformly bright yellow; unique_features: bold dark blue to black mask covering the eye and extending across the face bordered by a white to pale blue band, and a prominent dark blue to black vertical bar behind the head and gill cover region separating the face from the striped body",Coral reefs and lagoons; depth range 1EE100E¯m (commonly 3EE60E¯m).,35 cm,16 years,100 m,1.4 kg
Blueface angelfish,ปลาหงส์หน้ากากเหลือง,Pomacanthus xanthometopon,Perciformes,"A reef-associated angelfish with striking blue-and-yellow face, common across Indo-Pacific lagoons and outer reef slopes; Least Concern.","body_shape: laterally compressed; primary_colors: yellow and pale blue-grey covering the body; secondary_colors: deep blue on the face and pectoral fin base region; markings: densely packed pale blue and white scales forming a reticulated mosaic pattern across the yellow body, with the anterior face and forehead region being vivid blue; dorsal_fin: elongated with a trailing posterior tip, yellow with blue and white scale patterning at the base transitioning to yellow toward the margin; caudal_fin: rounded, predominantly yellow; unique_features: vivid blue mask covering the face from the forehead through and around the eyes, bright yellow patch on the forehead above the blue mask, dark blue to black pectoral fin axil region, small spine at the lower rear edge of the preoperculum characteristic of angelfishes",Coral-rich lagoons and outer reef slopes across Indo-Pacific; depth range 5EE30E¯m.,28 cm,13 years,30 m,9 kg
Royal angelfish,ปลาหงส์หลวง,Pygoplites diacanthus,Perciformes,"A reef-associated angelfish widely distributed in the Indo-Pacific; often paired, feeds on sponges and tunicates; seldom survives in aquaria.","body_shape: laterally compressed, oval and deep-bodied; primary_colors: bright orange-yellow; secondary_colors: white and electric blue, with grayish snout; markings: about 8 to 9 vertical white to pale orange bars each edged in dark blue running from behind the head to the caudal peduncle; dorsal_fin: long-based, orange with alternating fine blue and white bars matching the body pattern; caudal_fin: solid yellow, rounded to slightly truncate; unique_features: dark blue-edged bars give a strongly striped pattern, blue and yellow anal fin with horizontal blue stripes, and a black eye-band/blue marking near the eye","Coral-rich lagoons and seaward reefs across Indo-Pacific; depth range 0EE110E¯m, commonly 3EE60E¯m.",20 cm,15 years,110 m,1 kg
Streaked spinefoot,ปลาสไปน์ฟุตลายขีด,Siganus javus,Perciformes,A shallow-water herbivorous rabbitfish widespread in the IndoEEPacific; venomous spines; forms small schools.,"body_shape: laterally compressed; primary_colors: olive-brown to yellowish-brown on the dorsal surface, silvery-white on the ventral surface; secondary_colors: pale yellow to cream on the belly; markings: numerous thin horizontal blue-white streaks and lines running along the upper body sides interspersed with yellowish-brown wavy lines creating a streaked pattern across the flank; dorsal_fin: continuous with strong spines anteriorly, pale to translucent with yellowish tinge, moderately tall; caudal_fin: forked, pale yellowish to translucent with no strong contrasting markings; unique_features: strongly compressed body with small rabbit-like mouth, overall streaked lined pattern on the upper flanks is the primary diagnostic marker, no prominent spot near gill cover","Coastal reefs, rocky shores, brackish lagoons and seagrass beds; depths 2EE20E¯m.",30 cm,3 years,20 m,0.48 kg
Great barracuda,ปลาบาราคูด้าตัวใหญ่,Sphyraena barracuda,Perciformes,A top predator ray-finned fish found in tropical and subtropical oceans; solitary to schooling behavior; occasionally dangerous to swimmers.,"body_shape: elongated; primary_colors: silvery gray to bluish green on the dorsal surface, bright silver on the flanks; secondary_colors: white to pale yellowish on the ventral surface; markings: irregular dark blotches scattered along the lower flanks and abdomen, faint darker chevron or oblique bars visible on the upper flanks toward the posterior half of the body; dorsal_fin: two well-separated dorsal fins, first dorsal fin triangular with dark grayish coloration, second dorsal fin small and positioned far back near the tail; caudal_fin: forked with a dark grayish to blackish coloration and whitish to pale tips on both lobes; unique_features: very large underslung jaw with prominent fang-like teeth often visible even when mouth is closed, large mouth extending well past the eye, distinctly separated first and second dorsal fins, dark blotches concentrated on the lower flanks distinguishing it from similar species","Open seas, coral reefs, mangroves, and seagrasses worldwide in tropical/subtropical waters; depths from surface to 110E¯m, average daytime ~4E¯m.",80 cm,14 years,110 m,38 kg
Yellowtail barracuda,ปลาบาราคูด้าหางเหลือง,Sphyraena flavicauda,Perciformes,"A smaller IndoEEWest Pacific barracuda, Lessepsian migrant in the Mediterranean; nocturnal hunter schooling by day.","body_shape: elongated; primary_colors: silvery gray along the upper body and sides; secondary_colors: pale white to cream on the belly; markings: a dark grayish stripe running horizontally along the lateral line from behind the head to the caudal peduncle, with faint dusky blotches or chevron-like patches along the upper sides; dorsal_fin: two separate dorsal fins, both small and triangular, gray to translucent with no distinct patterning; caudal_fin: forked, distinctly yellow to bright golden yellow; unique_features: bright yellow forked caudal fin contrasting sharply with the silvery body, large mouth with visible fang-like teeth, pointed snout, and a streamlined torpedo-like profile",Reef lagoons and slopes across IndoEEWest Pacific and Mediterranean; depth range 2EE25E¯m.,40 cm,6 years,25 m,23 kg
Pickhandle barracuda,ปลาบาราคูด้าลายขีด,Sphyraena jello,Perciformes,"A schooling predatory fish in Indo-Pacific reefs, named for pickaxe-handle like bars; spawns in Persian Gulf in OctEENov.","body_shape: elongated; primary_colors: silvery gray on sides and back with a slight bluish or greenish tinge dorsally; secondary_colors: whitish to pale silver on the belly; markings: a series of dark oblique bars or blotches arranged in two rows along the upper sides of the body, with irregular dark chevron-shaped markings concentrated on the lateral line area; dorsal_fin: two separate dorsal fins, the first with stiff spines appearing pale to dusky, the second dorsal fin small and similar in coloration to the body; caudal_fin: forked, dusky to dark grayish with pale to whitish tips on the lobes; unique_features: prominent large fang-like teeth visible when mouth is open, distinctly elongated snout projecting well beyond the lower jaw, dark oblique blotches on upper flanks arranged in a distinctive double-row pattern distinguishing it from similar barracuda species","Reef-associated, estuaries, bays, lagoons; Indo-West Pacific from Red Sea to Vanuatu and Tonga.",120 cm,11 years,200 m,11.5 kg
